recording id,timestamp,Seconds after dusk,Seconds before dawn
305417,2019-05-19T17:44:05.000Z,,-3714
213014,2018-12-18T15:07:03.000Z,,-4556
165387,2018-07-28T18:13:00.000Z,,-2399
193600,2018-11-08T16:15:00.000Z,,-1199
205434,2018-12-05T16:11:00.000Z,,-599
162479,2018-06-28T06:08:00.000Z,1800,
182218,2018-10-07T09:57:01.000Z,10801,
194706,2018-11-10T15:44:00.000Z,,-2999
167210,2018-08-16T12:12:03.000Z,,-22856
228027,2019-01-16T11:11:01.000Z,,-20098
308514,2019-05-24T11:41:00.000Z,21600,
162303,2018-06-25T18:26:00.000Z,,-2399
231239,2019-01-22T08:19:00.000Z,600,
258170,2019-03-04T07:44:00.000Z,1200,
181638,2018-10-05T07:45:01.000Z,3001,
175926,2018-09-20T11:42:00.000Z,18000,
175237,2018-09-17T17:07:00.000Z,,-2399
176495,2018-09-23T11:44:01.000Z,18001,
305981,2019-05-20T10:44:01.000Z,18001,
275240,2019-04-05T08:36:01.000Z,7201,
184678,2018-10-14T16:56:00.000Z,,-599
162675,2018-06-30T07:38:00.000Z,7200,
193788,2018-11-09T08:00:00.000Z,1800,
264620,2019-03-16T16:59:00.000Z,,-2999
299909,2019-05-09T18:08:00.000Z,,-1799
163014,2018-07-03T16:40:07.000Z,,-8752
242976,2019-02-05T14:58:04.000Z,,-7795
228369,2019-01-17T09:11:00.000Z,3600,
221796,2019-01-04T08:13:01.000Z,1,
186683,2018-10-20T16:07:00.000Z,,-2999
306625,2019-05-21T13:43:06.000Z,,-18293
219624,2018-12-30T11:13:00.000Z,,-19019
283435,2019-04-23T10:11:01.000Z,14401,
273969,2019-04-02T17:55:00.000Z,,-599
187308,2018-10-22T15:55:01.000Z,,-3598
169144,2018-09-02T07:07:00.000Z,2400,
163564,2018-07-09T05:53:00.000Z,600,
169257,2018-09-03T06:58:00.000Z,1800,
184381,2018-10-13T16:02:02.000Z,,-3897
253312,2019-02-23T16:48:00.000Z,,-2399
229007,2019-01-18T09:11:00.000Z,3600,
238351,2019-01-30T08:13:00.000Z,600,
181805,2018-10-05T16:29:00.000Z,,-2999
193323,2018-11-07T09:28:02.000Z,7202,
166091,2018-08-04T07:02:00.000Z,3600,
309035,2019-05-25T11:40:02.000Z,21602,
316308,2019-06-06T06:26:01.000Z,3001,
177097,2018-09-25T16:34:01.000Z,,-3598
179985,2018-10-03T13:53:02.000Z,,-12537
195780,2018-11-13T16:01:00.000Z,,-1799
164704,2018-07-21T17:59:00.000Z,,-3599
182372,2018-10-08T11:58:03.000Z,,-18956
257579,2019-03-02T16:27:05.000Z,,-4074
162160,2018-06-22T15:36:02.000Z,,-12537
162304,2018-06-25T18:36:00.000Z,,-1799
168801,2018-08-30T17:14:01.000Z,,-3598
162413,2018-06-27T10:37:01.000Z,18001,
240627,2019-02-02T16:00:04.000Z,,-3895
242357,2019-02-04T12:59:04.000Z,,-14875
168069,2018-08-25T09:20:01.000Z,10801,
226819,2019-01-14T08:22:00.000Z,600,
238021,2019-01-29T12:04:02.000Z,,-17757
208379,2018-12-09T08:51:00.000Z,3000,
269071,2019-03-25T10:53:02.000Z,14402,
245589,2019-02-10T10:53:02.000Z,10802,
265499,2019-03-18T16:04:04.000Z,,-6415
257156,2019-03-01T16:29:04.000Z,,-3895
166220,2018-08-05T16:03:06.000Z,,-9773
193792,2018-11-09T09:30:01.000Z,7201,
166298,2018-08-06T06:24:00.000Z,1200,
182257,2018-10-07T16:56:00.000Z,,-1199
226967,2019-01-14T13:12:01.000Z,,-12718
298839,2019-05-07T15:55:05.000Z,,-9654
230772,2019-01-21T16:21:00.000Z,,-1799
220012,2018-12-31T12:13:02.000Z,,-15477
195698,2018-11-13T08:05:00.000Z,1800,
186035,2018-10-18T16:20:00.000Z,,-2399
167492,2018-08-19T17:29:01.000Z,,-3598
167641,2018-08-21T06:17:01.000Z,1,
167055,2018-08-14T17:36:01.000Z,,-3598
176059,2018-09-21T09:43:02.000Z,10802,
231801,2019-01-23T08:58:00.000Z,3000,
168098,2018-08-25T13:20:02.000Z,,-18057
173360,2018-09-14T07:37:00.000Z,3600,
162054,2018-06-20T05:45:00.000Z,600,
163855,2018-07-12T08:45:00.000Z,10800,
186637,2018-10-20T07:49:00.000Z,2400,
310487,2019-05-27T17:53:00.000Z,,-3599
282395,2019-04-21T07:04:00.000Z,3000,
300991,2019-05-11T06:21:00.000Z,1800,
163339,2018-07-06T18:55:00.000Z,,-599
281680,2019-04-19T17:30:00.000Z,,-2999
162385,2018-06-27T06:27:00.000Z,3000,
166679,2018-08-10T09:07:01.000Z,10801,
304968,2019-05-18T18:16:01.000Z,,-1798
162057,2018-06-20T06:15:00.000Z,2400,
306154,2019-05-20T13:44:02.000Z,,-18177
186439,2018-10-19T14:08:02.000Z,,-10257
303846,2019-05-16T14:47:05.000Z,,-14214
247519,2019-02-14T14:48:03.000Z,,-8996
163588,2018-07-09T12:43:02.000Z,,-22857
274683,2019-04-04T07:28:00.000Z,3000,
257162,2019-03-01T17:24:00.000Z,,-599
241418,2019-02-03T09:00:00.000Z,3600,
168360,2018-08-27T17:58:00.000Z,,-1199
217046,2018-12-26T10:11:01.000Z,7201,
242528,2019-02-04T16:07:00.000Z,,-3599
318052,2019-06-09T18:51:00.000Z,,-599
170961,2018-09-09T08:33:00.000Z,7200,
